temperature,humidity,pressure,wind_speed,rain,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,year,month,day,day_of_week,aqi_lag_1,aqi_rolling_mean_3
31.3,67,1005.7,20.0,0.0,27.875,11.0875,219.0,11.1875,4.754166666666666,66.625,2024,5,18,2,58.16666666666666,56.31944444444442
30.1,75,1003.8,18.9,0.0,25.04583333333333,8.520833333333334,186.29166666666663,10.470833333333331,5.15,53.208333333333336,2024,5,19,3,55.083333333333336,50.833333333333314
30.9,76,1003.3,22.6,0.0,37.35833333333333,10.320833333333333,186.0833333333333,8.950000000000001,4.375,60.25,2024,5,20,1,39.25,44.37499999999998
31.3,74,1003.0,21.7,0.0,65.62083333333334,14.65,206.16666666666663,9.670833333333333,4.820833333333334,67.875,2024,5,21,5,38.79166666666666,41.81944444444442
31.5,71,1002.4,22.8,0.0,56.175,14.9,211.29166666666663,10.229166666666666,5.133333333333334,70.83333333333333,2024,5,22,6,47.41666666666666,47.62499999999997
30.9,74,1001.3,20.8,0.0,46.47916666666666,14.983333333333334,212.04166666666663,10.3625,5.075,71.625,2024,5,23,4,56.66666666666666,53.65277777777775
30.7,77,1000.3,21.5,0.0,36.99583333333333,13.591666666666669,188.04166666666663,10.070833333333333,5.670833333333333,75.83333333333333,2024,5,24,0,56.875,56.0972222222222
30.7,79,1000.9,19.2,0.0,58.13333333333333,17.554166666666667,188.25,10.633333333333333,5.8375,79.66666666666667,2024,5,25,2,54.75,56.56944444444442
30.9,77,1001.9,22.2,0.0,56.12916666666666,18.65,178.79166666666666,8.725,4.745833333333334,71.875,2024,5,26,3,58.083333333333336,58.388888888888864
30.9,78,1000.8,26.8,0.0,71.29166666666667,22.0875,163.83333333333334,7.295833333333333,4.05,69.41666666666667,2024,5,27,1,62.333333333333336,63.208333333333314
31.2,75,999.3,30.3,0.0,56.02916666666667,18.78333333333333,155.41666666666666,6.3125,3.466666666666667,65.41666666666667,2024,5,28,5,69.20833333333333,66.77777777777777
32.8,64,997.3,30.6,0.0,82.37916666666666,20.891666666666666,179.33333333333334,7.875,3.775,75.66666666666667,2024,5,29,6,68.79166666666667,67.68055555555554
